request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,22.536467760801315,ok,,2501.388093456626,3.6368563402599343,4.152675159275531,3199.751492589712,200,3985,1018,1784267290.0908513
0-1,0,1,True,4000,200,6226.348267868161,ok,,113.36811631917953,4.843974144670976,4.818983376026154,1038.6411305516958,200,3985,743,1784267296.2946632
0-2,0,2,True,3999,200,10269.39662732184,ok,,110.53018271923065,4.515007282271213,5.115288402885199,986.5040555596352,200,3984,1023,1784267300.3377116
0-3,0,3,True,3999,200,14260.744448751211,ok,,110.25089956820011,5.228775981053406,5.715500563383102,1135.1648531854153,200,3984,948,1784267304.329059
0-4,0,4,True,3998,200,18401.447296142578,ok,,152.32820250093937,4.8972481519592055,5.097619723528624,1112.2671626508236,200,3983,990,1784267308.4697611
0-5,0,5,True,3998,200,22518.07241886854,ok,,182.64945596456528,4.852969237239227,4.733256250619888,1138.7562584131956,200,3983,1034,1784267312.5863857
1-0,1,0,True,4000,200,5144.083729013801,ok,,631.535068154335,5.225960339885205,5.101376958191388,1634.9999960511923,200,3985,878,1784267295.2124002
1-1,1,1,True,3999,200,9784.145042300224,ok,,108.55341702699661,5.136574812346908,5.230320245027539,1120.5241549760103,200,3984,1006,1784267299.852459
1-2,1,2,True,3999,200,13910.527093335986,ok,,109.40547287464142,5.168983306225181,6.227574869990343,1127.7726646512747,200,3984,1229,1784267303.9788413
1-3,1,3,True,3999,200,18045.414248481393,ok,,107.82909393310547,6.659017739261632,8.98047722876072,1379.7683026641607,200,3984,1056,1784267308.11373
1-4,1,4,True,3999,200,22431.124513968825,ok,,108.22047106921673,5.285564387582012,8.79221884533762,1133.6868237704039,200,3984,915,1784267312.4994388
1-5,1,5,True,3998,200,26570.58241777122,ok,,362.7768848091364,5.222715408608471,5.775406211614606,1376.0528340935707,200,3983,878,1784267316.6388977
2-0,2,0,True,4000,200,5267.124572768807,ok,,650.1826662570238,4.59681795419831,4.803695529699326,1523.6451178789139,200,3985,1010,1784267295.3354402
2-1,2,1,True,3999,200,9796.043012291193,ok,,171.89723439514637,4.844110545057517,4.94293291121721,1116.5702436119318,200,3984,945,1784267299.8643565
2-2,2,2,True,3999,200,13916.638765484095,ok,,178.35133336484432,5.191226204743191,6.234758533537388,1195.8958115428686,200,3984,1057,1784267303.9849532
2-3,2,3,True,3998,200,18116.348246112466,ok,,369.09089982509613,5.237480262533213,5.210556276142596,1390.4819320887327,200,3983,1105,1784267308.1846619
2-4,2,4,True,3998,200,22511.24902255833,ok,,118.49956214427948,5.199453593896968,4.93317237123847,1137.652687728405,200,3983,1057,1784267312.579563
2-5,2,5,True,3998,200,26652.9884301126,ok,,411.69059462845325,4.931179000083933,5.258484743535519,1368.397193029523,200,3983,1072,1784267316.721302
3-0,3,0,True,4000,200,6875.7069781422615,ok,,181.59844353795052,3.7180286515312098,4.42160926759243,902.9665123671293,200,3985,902,1784267296.9440236
3-1,3,1,True,3999,200,10783.2398917526,ok,,112.5861220061779,3.8947011981355515,4.869690630584949,852.6491615921259,200,3984,902,1784267300.8515542
3-2,3,2,True,3999,200,14641.099017113447,ok,,111.30230873823166,4.786028521995859,4.2830955237150174,1054.2186386883259,200,3984,1085,1784267304.7094152
3-3,3,3,True,3998,200,18699.91458207369,ok,,114.29596319794655,4.907079713092637,5.212350469082594,1066.3354583084583,200,3983,1060,1784267308.7682285
3-4,3,4,True,3998,200,22770.56659385562,ok,,115.62782898545265,4.869016942245011,5.018050782382488,1070.0159911066294,200,3983,1024,1784267312.8388832
3-5,3,5,True,3998,200,26844.648953527212,ok,,225.63459537923336,5.278153191474113,8.3660495467484,1186.3197293132544,200,3983,667,1784267316.9129627
4-0,4,0,True,4000,200,8137.163328006864,ok,,178.57187800109386,3.5717958345627174,3.9990812540054295,875.1416262239218,200,3985,1074,1784267298.2054799
4-1,4,1,True,4000,200,12017.230466008186,ok,,111.02201230823994,3.554725838939146,4.059317987412214,807.8516386449337,200,3985,998,1784267302.0855443
4-2,4,2,True,3999,200,15829.78848554194,ok,,107.89047367870808,3.6533291346019077,4.305453132838011,816.7148064821959,200,3984,1018,1784267305.898103
4-3,4,3,True,3999,200,19651.35608613491,ok,,110.20021885633469,4.657400103333669,4.758923314511774,1018.4902399778366,200,3984,1089,1784267309.7196703
4-4,4,4,True,3998,200,23674.762692302465,ok,,111.66587471961975,4.400559463443196,4.6746814623475075,974.2465615272522,200,3983,841,1784267313.7430766
4-5,4,5,True,3998,200,27654.395800083876,ok,,377.06551142036915,4.4319035333334185,4.658333491533995,1245.782135054469,200,3983,923,1784267317.7227097
5-0,5,0,True,4000,200,14811.505813151598,ok,,381.72224164009094,4.351683853904611,4.614968504756689,1226.0203510522842,200,3985,998,1784267304.8798223
5-1,5,1,True,3999,200,19042.399937286973,ok,,462.96028420329094,4.429225569840559,4.7043112106621265,1322.3252072930336,200,3984,980,1784267309.110714
