request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,22.878585383296013,ok,,418.69208589196205,5.0624458061665605,8.254542294889688,1400.8889440447092,200,3985,889,1784282072.2125967
0-1,0,1,True,4000,200,4430.001707747579,ok,,70.1789353042841,7.469050966355265,17.51602767035365,1534.2012476176023,200,3985,901,1784282076.6197224
0-2,0,2,True,3999,200,8968.856878578663,ok,,54.20802719891071,5.580216223738857,8.681973069906235,1136.8361562490463,200,3984,795,1784282081.1585743
0-3,0,3,True,3999,200,13110.752126201987,ok,,51.10275000333786,5.285761665299301,8.597997017204762,1060.7487000524998,200,3984,895,1784282085.300472
0-4,0,4,True,3998,200,17176.702491939068,ok,,66.90176390111446,5.453758642615116,8.634398598223925,1125.0073220580816,200,3983,1076,1784282089.3664222
0-5,0,5,True,3998,200,21305.94296939671,ok,,59.12003107368946,5.555089278032585,8.760486729443073,1147.985590621829,200,3983,1164,1784282093.4956615
1-0,1,0,True,4000,200,5140.869457274675,ok,,418.50757971405983,6.940691800493943,15.695596579462288,1737.3067941516638,200,3985,1004,1784282077.3305886
1-1,1,1,True,3999,200,9882.97238200903,ok,,61.440810561180115,5.714281934958238,8.68716649711132,1175.7969800382853,200,3984,977,1784282082.07269
1-2,1,2,True,3999,200,14063.126834109426,ok,,45.20083591341972,6.817479361304823,15.859417151659727,1381.4940825104713,200,3984,844,1784282086.2528455
1-3,1,3,True,3999,200,18450.527731329203,ok,,51.78833566606045,5.429331080189773,8.745742030441761,1116.0076390951872,200,3984,1070,1784282090.6402457
1-4,1,4,True,3999,200,22572.372833266854,ok,,47.43167385458946,5.781855195378646,8.7891248986125,1174.9610677361488,200,3984,1011,1784282094.762091
1-5,1,5,True,3998,200,26752.09402292967,ok,,62.51523084938526,5.264239906878669,8.702843636274338,1078.5925444215536,200,3983,1036,1784282098.9418125
2-0,2,0,True,4000,200,5267.437526956201,ok,,582.9556602984667,6.173671738523518,12.865280359983421,1799.2310635745525,200,3985,1004,1784282077.4571564
2-1,2,1,True,3999,200,10071.070412173867,ok,,60.55184081196785,5.493148020943817,8.650213479995728,1137.2795943170786,200,3984,1063,1784282082.2607887
2-2,2,2,True,3999,200,14214.101158082485,ok,,56.20046891272068,7.233873492589703,15.747054666280746,1423.4636798501015,200,3984,921,1784282086.403818
