request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,23.559318855404854,ok,,325.8278965950012,3.544881457680373,4.203085973858833,1024.258466437459,200,3985,861,1784279860.3231137
0-1,0,1,True,4000,200,4055.3727373480797,ok,,56.96064233779907,3.5892152537902198,3.6676960065960884,756.9036092609167,200,3985,1070,1784279864.3549285
0-2,0,2,True,3999,200,7815.912691876292,ok,,46.54499888420105,4.517955287378662,11.550100985914469,932.1089554578066,200,3984,958,1784279868.115463
0-3,0,3,True,3999,200,11751.016886904836,ok,,43.009329587221146,3.8381385692984473,4.083477426320314,795.3248918056488,200,3984,1143,1784279872.0505693
0-4,0,4,True,3998,200,15549.280427396297,ok,,57.42684192955494,4.1084392045024805,4.228902980685234,842.1918526291847,200,3983,1050,1784279875.848832
0-5,0,5,True,3998,200,19395.45874297619,ok,,50.89407414197922,4.005267138257245,4.066305980086327,839.9682324379683,200,3983,1162,1784279879.6950114
1-0,1,0,True,4000,200,5123.682800680399,ok,,232.41227120161057,4.714946151551805,11.549413204193108,1142.4376498907804,200,3985,739,1784279865.4232357
1-1,1,1,True,3999,200,9269.670126959682,ok,,35.21888889372349,4.265126534440416,5.492401029914621,837.1030297130346,200,3984,720,1784279869.5692236
1-2,1,2,True,3999,200,13111.830709502101,ok,,46.469707041978836,4.0730296336498455,4.113318491727114,836.6785869002342,200,3984,1047,1784279873.411389
1-3,1,3,True,3999,200,16951.59779302776,ok,,36.70004568994045,4.2774140263202955,4.455766826868056,845.1684284955263,200,3984,970,1784279877.2511501
1-4,1,4,True,3999,200,20800.8186314255,ok,,37.43445128202438,4.2333384068348465,4.510452225804327,863.0073219537735,200,3984,1169,1784279881.1003723
1-5,1,5,True,3998,200,24668.05037111044,ok,,59.553362429142,4.2562842772332665,5.115338694304228,885.3379935026169,200,3983,984,1784279884.9676037
2-0,2,0,True,4000,200,5270.655181258917,ok,,271.4606951922178,4.016566916536062,4.061450995504856,1054.7220055013895,200,3985,1061,1784279865.5702107
2-1,2,1,True,3999,200,9328.074928373098,ok,,46.8398742377758,4.068733129591842,4.197986796498299,831.280654296279,200,3984,1145,1784279869.6276262
2-2,2,2,True,3999,200,13163.593709468842,ok,,46.751921996474266,3.9972484073772723,4.086269997060299,830.2711416035891,200,3984,1069,1784279873.4631479
2-3,2,3,True,3998,200,16996.2663538754,ok,,57.82629922032356,4.003017779667767,4.178803879767656,842.4602560698986,200,3983,1125,1784279877.2958167
2-4,2,4,True,3998,200,20844.297928735614,ok,,52.994873374700546,4.169329392863679,4.313299059867858,857.744487002492,200,3983,1141,1784279881.1438525
2-5,2,5,True,3998,200,24706.581503152847,ok,,59.187645092606544,4.143909403146842,4.791640862822532,867.3112895339727,200,3983,1058,1784279885.0061347
3-0,3,0,True,4000,200,6863.105941563845,ok,,203.1407468020916,3.5836966182941046,3.757159411907196,902.0052682608366,200,3985,1077,1784279867.1626587
3-1,3,1,True,3999,200,10768.874607980251,ok,,36.369020119309425,3.6392566398717463,3.7491398863494387,735.1439353078604,200,3984,952,1784279871.0684276
3-2,3,2,True,3999,200,14508.009858429432,ok,,37.55440190434456,4.636449895370069,12.046515010297298,923.1528025120497,200,3984,914,1784279874.8075628
3-3,3,3,True,3998,200,18434.766383841634,ok,,51.20903067290783,3.8674755356250663,4.234138317406177,805.4466899484396,200,3983,1175,1784279878.7343175
3-4,3,4,True,3998,200,22246.0423335433,ok,,57.93723091483116,3.9155988060698217,4.651298280805349,825.4669196903706,200,3983,1146,1784279882.5455968
3-5,3,5,True,3998,200,26076.761374250054,ok,,55.13664521276951,3.914849208571862,4.082802217453718,814.6916627883911,200,3983,1009,1784279886.376317
4-0,4,0,True,4000,200,8120.735706761479,ok,,238.27031441032887,3.833222961456505,4.1275701485574245,981.9577299058437,200,3985,1065,1784279868.4202886
4-1,4,1,True,4000,200,12105.13543151319,ok,,41.879117488861084,3.855743633650745,4.071772843599319,786.1030101776123,200,3985,937,1784279872.404686
4-2,4,2,True,3999,200,15894.714271649718,ok,,44.3635955452919,3.9970678217867586,4.212066903710365,795.8495356142521,200,3984,676,1784279876.1942651
4-3,4,3,True,3999,200,19694.186083972454,ok,,36.28735803067684,4.153999836020863,4.43831644952297,842.2165773808956,200,3984,1185,1784279879.9937387
4-4,4,4,True,3998,200,23542.509701102972,ok,,50.44751428067684,3.591843074206839,3.9094340056180954,747.3414316773415,200,3983,1040,1784279883.8420627
4-5,4,5,True,3998,200,27294.850504025817,ok,,57.88620933890343,3.5614632545229123,3.596424125134945,756.0041677206755,200,3983,1021,1784279887.594404
5-0,5,0,True,4000,200,14788.376282900572,ok,,239.41829428076744,3.999301603025928,4.163707140833139,1027.9843490570784,200,3985,960,1784279875.0879278
5-1,5,1,True,3999,200,18819.121826440096,ok,,35.896459594368935,4.02112212509681,4.239884950220585,820.0980462133884,200,3984,953,1784279879.1186728
5-2,5,2,True,3999,200,22644.03172954917,ok,,51.8430732190609,3.8566827424801886,4.5263856649398795,792.3951912671328,200,3984,891,1784279882.943586
5-3,5,3,True,3998,200,26441.32297486067,ok,,58.80261771380901,3.8726067966005453,4.061657655984163,802.4155423045158,200,3983,1027,1784279886.7408767
