request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,22.421956062316895,ok,,781.223401427269,2.387064972367042,3.2969696447253223,1246.78754247725,200,3985,1004,1784309757.0227358
0-1,0,1,True,4000,200,4276.680335402489,ok,,62.81649135053158,2.450352735244311,2.9079962521791454,540.7178066670895,200,3985,1106,1784309761.276995
0-2,0,2,True,3999,200,7821.943264454603,ok,,58.971814811229706,8.346589453214285,22.2829463891685,1694.9762292206287,200,3984,1008,1784309764.822256
0-3,0,3,True,3999,200,12521.321611478925,ok,,59.750888496637344,7.0313394677882295,7.657724432647228,1437.9802159965038,200,3984,969,1784309769.521635
0-4,0,4,True,3998,200,16964.36228789389,ok,,402.309313416481,6.89397820708703,7.524678949266672,1753.5970453172922,200,3983,934,1784309773.9646754
0-5,0,5,True,3998,200,21722.48055227101,ok,,109.97304692864418,7.384372875094414,7.494961842894553,1542.6274463534355,200,3983,1060,1784309778.7227933
1-0,1,0,True,4000,200,5142.986800521612,ok,,720.9392320364714,9.394577297208896,22.42185939103365,2590.528165921569,200,3985,973,1784309762.1433024
1-1,1,1,True,3999,200,10740.282060578465,ok,,61.092086136341095,6.179165792388794,7.075211964547633,1266.0975381731987,200,3984,1112,1784309767.7406034
1-2,1,2,True,3999,200,15010.981937870383,ok,,208.47803726792336,7.443826339947871,7.684130780398845,1660.0930951535702,200,3984,981,1784309772.011296
1-3,1,3,True,3999,200,19677.74989642203,ok,,101.91687755286694,7.660346010661855,8.147869259119034,1603.4160871058702,200,3984,1130,1784309776.678064
1-4,1,4,True,3999,200,24286.99629753828,ok,,85.2335374802351,7.5315028257972125,7.715996820479631,1561.46789342165,200,3984,989,1784309781.28731
1-5,1,5,True,3998,200,28854.170512408018,ok,,401.1312387883663,7.576255764508126,8.550198283046484,1886.1174993216991,200,3983,891,1784309785.8544872
2-0,2,0,True,4000,200,5267.11299829185,ok,,941.1456231027842,8.512764059277396,22.04855754971504,2584.172448143363,200,3985,1043,1784309762.2674267
2-1,2,1,True,3999,200,10856.211705133319,ok,,84.03813280165195,6.901087134848444,7.072217762470245,1436.718013137579,200,3984,985,1784309767.856528
2-2,2,2,True,3999,200,15297.276563942432,ok,,57.97190219163895,7.682630712998674,7.878361642360688,1502.3667477071285,200,3984,1086,1784309772.2975903
2-3,2,3,True,3998,200,19804.02427725494,ok,,102.22750343382359,8.779113965207024,22.423461172729727,1770.3386675566435,200,3983,782,1784309776.8043373
2-4,2,4,True,3998,200,24579.012477770448,ok,,81.86405710875988,7.415534567315968,7.609051652252674,1535.360163077712,200,3983,1189,1784309781.579325
2-5,2,5,True,3998,200,29118.743807077408,ok,,166.10818542540073,7.571753086381821,8.504826761782166,1672.922469675541,200,3983,956,1784309786.1190567
3-0,3,0,True,4000,200,6877.324102446437,ok,,424.8822219669819,8.550427492936047,22.328446619212627,2100.8389703929424,200,3985,974,1784309763.8776383
3-1,3,1,True,3999,200,11982.870968058705,ok,,62.14390508830547,4.643695799595847,7.51223461702466,972.3898638039827,200,3984,973,1784309768.9831843
3-2,3,2,True,3999,200,15960.630549117923,ok,,58.66956524550915,7.012683793674318,7.427876349538565,1433.228999376297,200,3984,958,1784309772.9609463
3-3,3,3,True,3998,200,20398.387752473354,ok,,87.66758441925049,8.939380747809386,22.49727789312601,1804.0984086692333,200,3983,975,1784309777.3987007
