request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,22.655535489320755,ok,,327.9678225517273,3.5302739703867037,3.7101164460182186,1023.5214773565531,200,3985,861,1784305733.7704413
0-1,0,1,True,4000,200,4053.7092927843332,ok,,51.229238510131836,3.586352731172855,3.720677271485328,750.6544552743435,200,3985,1070,1784305737.801497
0-2,0,2,True,3999,200,7808.740988373756,ok,,46.34302482008934,4.5129627753526735,11.880826577544212,926.435798406601,200,3984,939,1784305741.5565264
0-3,0,3,True,3999,200,11739.87546376884,ok,,48.954613506793976,3.931912734948528,5.29717281460762,800.0280186533928,200,3984,877,1784305745.4876618
0-4,0,4,True,3998,200,15543.43749023974,ok,,53.218670189380646,4.015899386865144,4.142090678215027,840.3884526342154,200,3983,748,1784305749.2912219
0-5,0,5,True,3998,200,19388.412745669484,ok,,53.3444918692112,4.036614101152031,4.286088049411774,844.5694260299206,200,3983,985,1784305753.1362002
1-0,1,0,True,4000,200,5141.258727759123,ok,,297.7248001843691,4.649593461053977,11.21561639010906,1195.1735503971577,200,3985,739,1784305738.889046
1-1,1,1,True,3999,200,9341.387381777167,ok,,46.02080583572388,4.074260544944174,4.400834441184998,844.6540348231792,200,3984,1034,1784305743.0891726
1-2,1,2,True,3999,200,13190.796198323369,ok,,46.47814482450485,4.086665540319128,4.143850039690732,839.3652606755495,200,3984,1109,1784305746.9385822
1-3,1,3,True,3999,200,17033.341966569424,ok,,32.385798171162605,4.207236914282635,6.72130063176154,844.4193936884403,200,3984,998,1784305750.7811255
1-4,1,4,True,3999,200,20880.00782392919,ok,,41.30680486559868,4.263262973779842,4.838656261563297,864.1882408410311,200,3984,1076,1784305754.6277905
1-5,1,5,True,3998,200,24748.331716284156,ok,,61.30662374198437,4.30812124947184,4.752579331398006,879.8859417438507,200,3983,1098,1784305758.496117
2-0,2,0,True,4000,200,5270.058045163751,ok,,345.6346895545721,3.9995084397303753,4.331379942595958,1125.60760602355,200,3985,1061,1784305739.0178442
2-1,2,1,True,3999,200,9399.070678278804,ok,,61.00677140057087,3.9886536684875584,4.405599553138018,842.8627233952284,200,3984,1030,1784305743.1468549
2-2,2,2,True,3999,200,13247.146259993315,ok,,48.67718741297722,3.9330997864654913,4.071968421339989,831.4361367374659,200,3984,963,1784305746.9949324
2-3,2,3,True,3998,200,17082.565603777766,ok,,66.23628921806812,4.064333050902643,4.858190193772314,850.6947197020054,200,3983,1056,1784305750.8303506
2-4,2,4,True,3998,200,20935.80610305071,ok,,61.3548569381237,4.161464661592618,4.651885945349932,860.4311738163233,200,3983,1023,1784305754.6835887
2-5,2,5,True,3998,200,24801.088862121105,ok,,70.16833685338497,4.269936445721968,4.762727953493592,868.6783332377672,200,3983,1022,1784305758.5488746
3-0,3,0,True,4000,200,6875.580070540309,ok,,211.13384142518044,3.548138727414973,3.967748023569584,906.6432137042284,200,3985,1077,1784305740.6233668
3-1,3,1,True,3999,200,10787.841964513063,ok,,48.17870631814003,3.552033927063553,3.62725043669343,744.4643881171942,200,3984,980,1784305744.5356278
3-2,3,2,True,3999,200,14537.318121641874,ok,,46.836283057928085,4.582408191540192,11.793561931699514,935.8764532953501,200,3984,1095,1784305748.2851052
3-3,3,3,True,3998,200,18476.15629248321,ok,,50.18924921751022,3.903073128409336,4.3614115566015235,803.5898450762033,200,3983,1031,1784305752.2239401
3-4,3,4,True,3998,200,22283.410165458918,ok,,55.14439195394516,3.8083360676989337,4.100049287080764,805.4463770240545,200,3983,1043,1784305756.0311935
3-5,3,5,True,3998,200,26093.770805746317,ok,,55.75195513665676,3.880621148989751,4.27959319204092,812.511270865798,200,3983,804,1784305759.8415568
4-0,4,0,True,4000,200,8143.120963126421,ok,,240.02718925476074,3.8489652215503156,4.1252924129366875,979.0824633091688,200,3985,1098,1784305741.8909075
4-1,4,1,True,4000,200,12127.020390704274,ok,,57.365989312529564,3.8086130888652554,4.08418495208025,796.3149100542068,200,3985,1073,1784305745.874808
4-2,4,2,True,3999,200,15927.157757803798,ok,,35.337526351213455,3.8018088107030406,4.054345563054085,784.3461446464062,200,3984,1030,1784305749.674942
4-3,4,3,True,3999,200,19714.465184137225,ok,,39.53623212873936,4.499092105871592,11.681076698005198,916.8981332331896,200,3984,891,1784305753.4622498
4-4,4,4,True,3998,200,23634.589217603207,ok,,47.241248190402985,3.5434159336193485,3.624028991907835,741.8246138840914,200,3983,1040,1784305757.3823726
4-5,4,5,True,3998,200,27379.417326301336,ok,,49.9761700630188,3.618027394016584,3.6515201441943645,744.7007019072771,200,3983,900,1784305761.1272
5-0,5,0,True,4000,200,14812.284629791975,ok,,239.03263546526432,4.1333783667573,4.173856601119041,1040.9628301858902,200,3985,898,1784305748.5600715
5-1,5,1,True,3999,200,18856.10629618168,ok,,43.411411345005035,4.109717022705202,4.767831601202487,832.5150199234486,200,3984,872,1784305752.6038895
5-2,5,2,True,3999,200,22693.070514127612,ok,,40.737710893154144,3.8229459848428635,4.047053307294846,778.6044478416443,200,3984,606,1784305756.440858
5-3,5,3,True,3998,200,26475.26591643691,ok,,57.09562450647354,3.8083801093773966,4.270228743553162,799.7674345970154,200,3983,969,1784305760.2230506
5-4,5,4,True,3998,200,30280.484676361084,ok,,59.543149545788765,3.561203649792916,3.6669570952653885,754.0224529802799,200,3983,1066,1784305764.0282714
5-5,5,5,True,3998,200,34039.6912842989,ok,,55.98985776305199,3.549312973128898,3.596480470150709,751.7175320535898,200,3983,885,1784305767.7874782
6-0,6,0,True,4000,200,20436.841897666454,ok,,225.38964077830315,4.07257954571016,4.7214883379638195,1023.6523430794477,200,3985,1074,1784305754.184626
6-1,6,1,True,3999,200,24464.754099026322,ok,,34.16657820343971,4.182547769699421,6.311015225946903,833.0900855362415,200,3984,1111,1784305758.2125392
6-2,6,2,True,3999,200,28303.360026329756,ok,,50.57888478040695,3.559239237354352,3.6453582346439357,744.6683570742607,200,3984,1058,1784305762.0511444
