request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,22.976012900471687,ok,,308.9704141020775,3.5472421760335187,3.821774199604988,1007.9026557505131,200,3985,861,1784306495.4861238
0-1,0,1,True,4000,200,4038.436722010374,ok,,50.81438273191452,3.603449970101699,3.7915650755167007,753.5992786288261,200,3985,1070,1784306499.5015855
0-2,0,2,True,3999,200,7797.600286081433,ok,,36.34732775390148,4.431044435774793,11.254944372922182,904.907189309597,200,3984,956,1784306503.2607481
0-3,0,3,True,3999,200,11708.00719410181,ok,,45.29440961778164,3.831486547222504,4.03819102793932,792.4886476248503,200,3984,1093,1784306507.171154
0-4,0,4,True,3998,200,15504.755416885018,ok,,61.193425208330154,4.016469046473503,4.098254069685935,844.5085007697344,200,3983,961,1784306510.967903
0-5,0,5,True,3998,200,19352.8221398592,ok,,59.174731373786926,4.041368683457983,4.125430248677731,851.3895068317652,200,3983,1063,1784306514.8159676
1-0,1,0,True,4000,200,5140.596454963088,ok,,258.0438368022442,4.751168608587856,11.898339632898567,1170.3255511820316,200,3985,739,1784306500.6037464
1-1,1,1,True,3999,200,9315.157487988472,ok,,46.05281352996826,4.108379201329861,4.086502827703953,843.1321606040001,200,3984,975,1784306504.778305
1-2,1,2,True,3999,200,13162.83693909645,ok,,45.45996151864529,4.014223568179281,4.0776412934064865,836.3167941570282,200,3984,1053,1784306508.6259844
1-3,1,3,True,3999,200,17004.148388281465,ok,,45.92368192970753,4.151576623702661,4.102372750639914,855.5365446954966,200,3984,955,1784306512.4672956
1-4,1,4,True,3999,200,20865.015406161547,ok,,51.031457260251045,4.276228234327088,4.393178038299082,872.1405398100615,200,3984,992,1784306516.3281639
1-5,1,5,True,3998,200,24741.771386936307,ok,,64.16266411542892,4.244752007430976,4.24633314833045,887.6978643238544,200,3983,1039,1784306520.2049203
2-0,2,0,True,4000,200,5258.456503972411,ok,,327.1588757634163,4.04250663081088,4.307509399950504,1111.4446222782135,200,3985,1061,1784306500.7216024
2-1,2,1,True,3999,200,9374.743420630693,ok,,61.96843273937702,4.003949482471515,4.05521746724844,842.7722230553627,200,3984,1061,1784306504.8378918
2-2,2,2,True,3999,200,13220.964200794697,ok,,48.29731956124306,4.116475180183587,4.055537655949593,830.4605353623629,200,3984,1024,1784306508.6841102
2-3,2,3,True,3998,200,17054.66037429869,ok,,70.40713354945183,4.101962075417578,4.06428799033165,853.91647182405,200,3983,990,1784306512.5178075
2-4,2,4,True,3998,200,20914.95301015675,ok,,61.21796555817127,4.14007275794763,4.232224449515343,864.0396241098642,200,3983,1115,1784306516.3781035
2-5,2,5,True,3998,200,24783.100614324212,ok,,61.590103432536125,4.129143240742194,4.192930087447166,866.8051864951849,200,3983,1084,1784306520.2462468
3-0,3,0,True,4000,200,6876.499623060226,ok,,210.61919257044792,3.569556476596074,3.5935262218117714,906.7582581192255,200,3985,1077,1784306502.3396506
3-1,3,1,True,3999,200,10788.300124928355,ok,,45.04966363310814,3.5479496309191596,3.5686814226210117,740.4865920543671,200,3984,1021,1784306506.251448
