request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,23.185091093182564,ok,,2964.207623153925,2.5483407650370986,2.723746933043003,3463.7372344732285,200,3985,945,1784311159.9494467
0-1,0,1,True,4000,200,6489.247843623161,ok,,52.60174535214901,3.811700883856479,12.489536497741938,769.2957930266857,200,3985,898,1784311166.4155066
0-2,0,2,True,3999,200,10263.454919680953,ok,,63.06819245219231,2.7992390983161473,3.1824745237827297,592.1970326453447,200,3984,991,1784311170.1897166
0-3,0,3,True,3999,200,13860.299291089177,ok,,57.3222991079092,2.89406964706408,5.011729896068573,592.7840247750282,200,3984,440,1784311173.786561
0-4,0,4,True,3998,200,17458.01193639636,ok,,60.418570414185524,2.788516784501817,2.9647309333086014,598.6577328294516,200,3983,749,1784311177.3842742
0-5,0,5,True,3998,200,21060.235053300858,ok,,62.2399989515543,2.8077043306369047,2.986758202314377,609.8161153495312,200,3983,1029,1784311180.9864962
1-0,1,0,True,4000,200,5141.82204566896,ok,,544.6309894323349,5.23445457790275,12.143788859248161,1570.625787600875,200,3985,1052,1784311165.0680852
1-1,1,1,True,3999,200,9717.741802334785,ok,,56.05067312717438,2.8947616870305977,3.3364160917699337,623.5003154724836,200,3984,1051,1784311169.6440036
1-2,1,2,True,3999,200,13346.097517758608,ok,,54.01207320392132,2.933610994846393,3.221378847956652,626.1217370629311,200,3984,974,1784311173.2723594
1-3,1,3,True,3999,200,16978.983663022518,ok,,70.19289582967758,2.9082996770739555,3.6487509496509993,634.4752348959446,200,3984,1095,1784311176.9052453
1-4,1,4,True,3999,200,20617.224475368857,ok,,79.20904457569122,3.00386716844514,3.2367195002734652,655.9947319328785,200,3984,1019,1784311180.543486
1-5,1,5,True,3998,200,24278.695728629827,ok,,102.35166549682617,2.9628972312615764,2.9352037236094475,653.5139326006174,200,3983,998,1784311184.2049553
2-0,2,0,True,4000,200,5261.051787063479,ok,,941.2897136062384,2.893062906793362,3.045092523097992,1499.6848460286856,200,3985,1048,1784311165.1873138
2-1,2,1,True,3999,200,9765.82775823772,ok,,65.63697569072247,2.820238633415638,2.885942533612251,615.6608108431101,200,3984,998,1784311169.6920907
2-2,2,2,True,3999,200,13385.082451626658,ok,,57.79372900724411,2.8679645232235393,3.498920425772659,608.4926389157772,200,3984,1154,1784311173.3113441
2-3,2,3,True,3998,200,16999.279156327248,ok,,64.2184354364872,2.8560688987988785,3.2202326692640764,618.3600928634405,200,3983,1118,1784311176.9255419
2-4,2,4,True,3998,200,20620.7463350147,ok,,80.3673192858696,2.9949261030803123,3.212200384587048,655.4386019706726,200,3983,1051,1784311180.5470057
2-5,2,5,True,3998,200,24283.042876049876,ok,,97.93742559850216,2.943701892692775,2.9290778562426567,648.4801508486271,200,3983,1008,1784311184.2093039
3-0,3,0,True,4000,200,6858.205670490861,ok,,270.6950232386589,2.606954819225159,2.742293383926153,776.519438251853,200,3985,927,1784311166.7844653
3-1,3,1,True,3999,200,10639.543706551194,ok,,60.19231863319874,2.796471377627717,2.753369975835085,563.5909661650658,200,3984,1062,1784311170.5658062
3-2,3,2,True,3999,200,14206.184467300773,ok,,56.13989569246769,2.671953281245861,2.9454950243234634,582.5534425675869,200,3984,1054,1784311174.1324449
3-3,3,3,True,3998,200,17793.41857507825,ok,,59.018492698669434,2.65141692943871,2.8780431486666203,568.1356247514486,200,3983,898,1784311177.7196815
3-4,3,4,True,3998,200,21366.448180750012,ok,,61.914071440696716,2.6384278880963055,2.7286160737276077,571.2010357528925,200,3983,1063,1784311181.29271
3-5,3,5,True,3998,200,24942.39927455783,ok,,47.822531312704086,2.51715320485587,2.5840546004474163,541.2864107638597,200,3983,933,1784311184.8686597
4-0,4,0,True,4000,200,8137.647366151214,ok,,216.91411174833775,2.5416089356252827,2.5512139312922955,710.0608982145786,200,3985,762,1784311168.063911
4-1,4,1,True,4000,200,11852.821469306946,ok,,55.00202253460884,2.516135079215984,2.713107969611883,548.2028480619192,200,3985,880,1784311171.7790828
4-2,4,2,True,3999,200,15404.748754575849,ok,,59.81174856424332,2.5607027670310947,2.6856188662350178,556.6237661987543,200,3984,1003,1784311175.3310094
4-3,4,3,True,3999,200,18964.54705670476,ok,,59.54033322632313,2.578689914602072,2.6854820549488068,557.2615377604961,200,3984,1008,1784311178.8908074
4-4,4,4,True,3998,200,22526.273488998413,ok,,59.97149273753166,2.6540803683406495,2.810672204941511,559.0149741619825,200,3983,786,1784311182.4525356
4-5,4,5,True,3998,200,26089.409708976746,ok,,62.62655556201935,2.575315170220493,2.6981485076248646,562.2740183025599,200,3983,947,1784311186.01567
5-0,5,0,True,4000,200,14788.090165704489,ok,,211.36793121695518,2.7328301711302054,3.063110075891014,730.6606359779835,200,3985,1002,1784311174.714351
5-1,5,1,True,3999,200,18523.61847087741,ok,,45.610496774315834,2.72255728119298,2.705704141408205,562.9517119377851,200,3984,1121,1784311178.4498792
5-2,5,2,True,3999,200,22091.094687581062,ok,,57.64376558363438,2.744940705794506,2.818193286657333,576.5432119369507,200,3984,1031,1784311182.0173562
5-3,5,3,True,3998,200,25672.12201282382,ok,,55.9433214366436,2.7711756250008626,3.0452896840870403,576.9799500703812,200,3983,1002,1784311185.598383
5-4,5,4,True,3998,200,29254.279719665647,ok,,56.799110025167465,2.6073213075361554,2.6327390223741527,549.623416736722,200,3983,919,1784311189.1805425
5-5,5,5,True,3998,200,32808.84571932256,ok,,55.65712787210941,2.5946891621539465,2.6089489459991455,548.7439706921577,200,3983,1080,1784311192.7351089
6-0,6,0,True,4000,200,20451.70327462256,ok,,232.63919539749622,3.0316597555276643,3.1849764287471736,817.7995998412371,200,3985,1175,1784311180.3779666
6-1,6,1,True,3999,200,24274.6271379292,ok,,61.708467081189156,3.085833012817367,2.9698791913688183,635.779470205307,200,3984,1082,1784311184.2008893
6-2,6,2,True,3999,200,27916.066205129027,ok,,55.04542402923107,2.58141226520401,2.5712409988045692,548.1344871222973,200,3984,980,1784311187.842329
6-3,6,3,True,3999,200,31471.2146949023,ok,,55.805908516049385,4.612295500313242,12.238889839500189,941.4701778441668,200,3984,1008,1784311191.3974762
6-4,6,4,True,3999,200,35418.44115965068,ok,,61.256907880306244,3.1115837178375356,4.361178353428836,649.4186501950026,200,3984,1031,1784311195.3447044
6-5,6,5,True,3998,200,39072.93095625937,ok,,63.02224285900593,3.107575927563804,3.315828926861288,647.3507899791002,200,3983,1008,1784311198.9991932
7-0,7,0,True,4000,200,31596.21511027217,ok,,263.8705763965845,3.76877129862183,12.224152404814959,980.0081849098206,200,3985,1066,1784311191.52248
7-1,7,1,True,3999,200,35581.95047080517,ok,,63.10006231069565,2.9542085320986424,3.4133543260395505,636.3248396664858,200,3984,838,1784311195.5082133
7-2,7,2,True,3999,200,39222.74679504335,ok,,62.06112541258335,4.830027283414414,12.367867492139338,979.8720814287663,200,3984,963,1784311199.1490097
7-3,7,3,True,3998,200,43207.198491320014,ok,,55.32502941787243,3.103982626989081,9.593476355075804,629.6112965792418,200,3983,1017,1784311203.1334593
7-4,7,4,True,3999,200,46841.104157269,ok,,58.3963617682457,2.7792714634223987,5.183241050690378,586.5231715142727,200,3984,1103,1784311206.7673662
7-5,7,5,True,3998,200,50430.82675524056,ok,,271.50298841297626,3.194873196316913,6.82780053466556,869.0008781850338,200,3983,900,1784311210.3570871
8-0,8,0,True,4000,200,32048.77644777298,ok,,273.33797328174114,2.7193184169926172,2.906688302755355,798.2747908681631,200,3985,1057,1784311191.9750385
8-1,8,1,True,3999,200,35852.885756641626,ok,,62.31348030269146,3.7281237035521664,11.843419633805752,774.4548581540585,200,3984,737,1784311195.7791483
8-2,8,2,True,3999,200,39632.562693208456,ok,,69.45693120360374,4.773165416164496,12.340510822832584,995.5179523676634,200,3984,953,1784311199.5588262
8-3,8,3,True,3998,200,43631.368363276124,ok,,61.75398826599121,3.2296967839724138,6.393396016210295,681.7158833146095,200,3983,865,1784311203.5576305
8-4,8,4,True,3998,200,47318.458477035165,ok,,60.37081219255924,3.26821248406771,7.427635788917537,678.1300418078899,200,3983,980,1784311207.2447212
8-5,8,5,True,3998,200,51000.5904212594,ok,,63.884880393743515,3.2473637589386533,7.102886214852321,677.71902307868,200,3983,1180,1784311210.9268503
9-0,9,0,True,4000,200,34765.98702929914,ok,,218.248737975955,3.846532972433518,12.027675472199917,964.5636864006519,200,3985,1042,1784311194.6922472
9-1,9,1,True,3999,200,38737.81974427402,ok,,57.528384029865265,3.1250632212807736,6.4245113171636925,657.642824575305,200,3984,958,1784311198.664082
9-2,9,2,True,3999,200,42401.30806900561,ok,,58.07282403111458,2.8259320587841508,2.758723869919777,606.3582543283701,200,3984,935,1784311202.3275707
9-3,9,3,True,3999,200,46013.776767998934,ok,,66.93545170128345,3.7935366997352014,12.225711159408092,806.7780192941427,200,3984,968,1784311205.9400384
9-4,9,4,True,3998,200,49826.787965372205,ok,,87.0993621647358,3.974106584332491,12.4075748026371,842.2344829887152,200,3983,885,1784311209.7530506
9-5,9,5,True,3998,200,53675.132755190134,ok,,70.63820399343967,3.1821307072297054,5.240389518439784,668.979998677969,200,3983,1024,1784311213.6013942
10-0,10,0,True,4000,200,34938.27943317592,ok,,264.5945008844137,3.0409462106321494,5.847676657140255,845.4858399927616,200,3985,950,1784311194.864541
