request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,22.494647651910782,ok,,295.499125495553,2.570933134285445,2.6275161653757095,794.3926770240068,200,3985,758,1784310208.8664892
0-1,0,1,True,4000,200,3824.363810941577,ok,,71.0382517427206,2.7506517635732046,2.739192545413969,557.9834673553705,200,3985,1003,1784310212.6683595
0-2,0,2,True,3999,200,7387.158868834376,ok,,48.10453578829765,2.605424993313276,2.750960923731327,556.234560906887,200,3984,951,1784310216.2311535
0-3,0,3,True,3999,200,10948.132272809744,ok,,50.48786476254463,2.6020200493244023,2.737705782055855,557.9494461417198,200,3984,894,1784310219.7921271
0-4,0,4,True,3998,200,14510.839208960533,ok,,64.1451645642519,3.700184766002881,12.335565872490406,752.4505835026503,200,3983,970,1784310223.3548334
0-5,0,5,True,3998,200,18268.51588487625,ok,,60.48092246055603,2.730129218382361,3.4142136573791504,582.0037238299847,200,3983,957,1784310227.1125107
1-0,1,0,True,4000,200,5143.632626160979,ok,,233.94101299345493,3.55546979946976,11.561545357108116,902.4408962577581,200,3985,940,1784310213.9876294
1-1,1,1,True,3999,200,9051.050337031484,ok,,46.762099489569664,2.838712359339462,2.969906851649284,594.7064943611622,200,3984,1094,1784310217.8950448
1-2,1,2,True,3999,200,12650.602357462049,ok,,46.96781374514103,2.8570839897432228,3.1104153022170085,584.1732751578093,200,3984,691,1784310221.4945967
1-3,1,3,True,3999,200,16240.429343655705,ok,,46.82169109582901,2.877742224900993,2.7797446586191654,605.1777228713036,200,3984,868,1784310225.084423
1-4,1,4,True,3999,200,19850.82590021193,ok,,47.835540026426315,2.9229361914995455,2.819131128489971,606.1819940805435,200,3984,969,1784310228.6948192
1-5,1,5,True,3998,200,23461.86169795692,ok,,67.98704341053963,2.7489849195188407,2.7842195704579353,606.8598981946707,200,3983,1043,1784310232.3058558
2-0,2,0,True,4000,200,5271.557029336691,ok,,288.23893144726753,2.8568924278826326,4.692856967449159,816.8327324092388,200,3985,899,1784310214.1155515
2-1,2,1,True,3999,200,9093.374129384756,ok,,63.349250704050064,2.696075144090823,2.9165572486817837,591.8466206640005,200,3984,1095,1784310217.93737
2-2,2,2,True,3999,200,12689.517110586166,ok,,53.16849611699581,2.7288703894522524,2.7858667075634003,579.9078121781349,200,3984,1033,1784310221.5335112
2-3,2,3,True,3998,200,16274.618823081255,ok,,73.28444719314575,2.73185374861863,2.74842232465744,600.5978621542454,200,3983,975,1784310225.118614
2-4,2,4,True,3998,200,19879.550890997052,ok,,59.32470038533211,2.789410343640065,2.7948498725891113,586.5892749279737,200,3983,993,1784310228.7235456
2-5,2,5,True,3998,200,23470.377676188946,ok,,73.70909675955772,2.712789540871596,2.7709096670150752,602.7659978717566,200,3983,1069,1784310232.314371
3-0,3,0,True,4000,200,6877.619108185172,ok,,204.46150563657284,2.685176544659531,2.791681233793497,725.4591658711433,200,3985,953,1784310215.7216141
3-1,3,1,True,3999,200,10608.348615467548,ok,,49.03849773108959,2.85309365858416,4.529098980128749,568.3732144534588,200,3984,853,1784310219.4523427
3-2,3,2,True,3999,200,14182.589342817664,ok,,47.33897186815739,2.750567860245087,3.160590305924411,578.2670490443707,200,3984,1045,1784310223.0265841
3-3,3,3,True,3998,200,17766.24304614961,ok,,59.49438363313675,2.65204063974894,2.8611948713660227,576.7174586653709,200,3983,983,1784310226.6102376
3-4,3,4,True,3998,200,21347.599733620882,ok,,56.33997917175293,2.6052525463072875,2.6809846051037307,551.4077041298151,200,3983,1032,1784310230.1915948
3-5,3,5,True,3998,200,24904.194828122854,ok,,56.325338780879974,2.5822134339250624,2.6962899602949615,552.1818585693836,200,3983,1134,1784310233.7481885
4-0,4,0,True,4000,200,8139.983370900154,ok,,206.2339000403881,2.5194840609724753,2.575654536485672,702.6431728154421,200,3985,1047,1784310216.9839797
4-1,4,1,True,4000,200,11847.542058676481,ok,,46.99193313717842,2.5556590216061505,2.6154876686632633,542.8269430994987,200,3985,950,1784310220.6915357
4-2,4,2,True,3999,200,15394.653584808111,ok,,47.981224954128265,2.5776803911644586,2.7181454934179783,553.2740224152803,200,3984,1104,1784310224.238648
4-3,4,3,True,3999,200,18952.944844961166,ok,,49.82120916247368,2.623089063198455,2.7468979358673096,556.1494380235672,200,3984,1138,1784310227.7969406
4-4,4,4,True,3998,200,22513.652611523867,ok,,61.67561560869217,2.60417327666894,2.721330337226391,569.5597846060991,200,3983,929,1784310231.3576467
4-5,4,5,True,3998,200,26087.742295116186,ok,,62.70841881632805,2.643758605699986,2.748524956405163,570.3768022358418,200,3983,1008,1784310234.931737
5-0,5,0,True,4000,200,14808.595241978765,ok,,246.4763019233942,2.7362211636200393,2.857915218919515,777.3716989904642,200,3985,1134,1784310223.6525898
5-1,5,1,True,3999,200,18590.74111096561,ok,,49.363480880856514,2.8774211736949713,3.629803285002707,581.7639380693436,200,3984,979,1784310227.4347355
5-2,5,2,True,3999,200,22177.4774864316,ok,,46.38592340052128,2.759078371275158,3.246319480240345,573.4414830803871,200,3984,906,1784310231.0214717
5-3,5,3,True,3998,200,25755.80874271691,ok,,57.136526331305504,2.827759762419099,3.2858239486813536,585.996113717556,200,3983,982,1784310234.5998027
5-4,5,4,True,3998,200,29347.881315276027,ok,,60.407230630517006,2.580398761589701,2.6304603554308414,555.9183936566114,200,3983,637,1784310238.1918764
5-5,5,5,True,3998,200,32908.967139199376,ok,,56.16583675146103,2.5596494604017317,2.586175315082073,552.8390724211931,200,3983,1009,1784310241.7529607
6-0,6,0,True,4000,200,20455.671487376094,ok,,200.71786269545555,2.5779157201397602,2.619430422782898,698.3297672122717,200,3985,931,1784310229.2996666
6-1,6,1,True,3999,200,24158.28826650977,ok,,46.82129994034767,2.605720884022639,3.2059998251497746,552.4059738963842,200,3984,1091,1784310233.0022824
6-2,6,2,True,3999,200,27716.37088060379,ok,,45.454904437065125,2.679266841024966,2.601957693696022,541.1917418241501,200,3984,773,1784310236.5603652
6-3,6,3,True,3999,200,31263.73080164194,ok,,47.26319946348667,3.4926173067529787,11.990709230303764,714.4293263554573,200,3984,523,1784310240.1077282
