request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,24.666041135787964,ok,,1207.7617030590773,11.561807531576891,12.150434404611586,3462.4069426208735,200,3985,920,1784310583.882745
0-1,0,1,True,4000,200,6492.330428212881,ok,,74.86292906105518,12.485570927179351,14.021481573581696,2497.132509946823,200,3985,945,1784310590.3504097
0-2,0,2,True,3999,200,11993.92151646316,ok,,64.35580924153328,12.389810344106273,14.28998271003365,2418.5002762824297,200,3984,974,1784310595.8520005
0-3,0,3,True,3999,200,17417.028732597828,ok,,62.85900995135307,12.304043339401328,13.438164815306662,2437.6059658825397,200,3984,910,1784310601.2751076
0-4,0,4,True,3998,200,22860.040755942464,ok,,630.2657127380371,12.154485441136117,13.24872812256217,3012.6186199486256,200,3983,1015,1784310606.71812
0-5,0,5,True,3998,200,28878.510968759656,ok,,98.6737534403801,12.589583397691786,13.647951185703278,2503.3512637019157,200,3983,1009,1784310612.7365901
1-0,1,0,True,4000,200,5144.186953082681,ok,,566.055303439498,13.248375280923451,14.991856366395945,3136.317627504468,200,3985,794,1784310589.0022693
1-1,1,1,True,3999,200,11286.99721954763,ok,,56.884242221713066,12.04044042298427,14.064965583384035,2404.8432167619467,200,3984,1023,1784310595.1450775
1-2,1,2,True,3999,200,16696.239341050386,ok,,68.98076087236404,12.021939237105665,13.475998118519781,2437.3767618089914,200,3984,1057,1784310600.5543187
1-3,1,3,True,3999,200,22138.866087421775,ok,,67.25339591503143,14.067828985086331,14.695611596107476,2768.3565132319927,200,3984,784,1784310605.9969456
1-4,1,4,True,3999,200,27909.90045107901,ok,,52.54428647458553,12.225920621019144,13.968870788812634,2436.673669144511,200,3984,974,1784310611.7679765
1-5,1,5,True,3998,200,33351.63096897304,ok,,1016.735615208745,12.756832431592242,17.216677777469158,3453.3698428422213,200,3983,944,1784310617.2097087
2-0,2,0,True,4000,200,5269.902911037207,ok,,820.3305620700121,12.485312211528882,14.01495672762394,3242.547892034054,200,3985,1097,1784310589.1279826
2-1,2,1,True,3999,200,11517.875788733363,ok,,82.13187381625175,12.0909666584339,14.462029561400414,2439.7161193192005,200,3984,1057,1784310595.375955
2-2,2,2,True,3999,200,16962.379842996597,ok,,65.1408564299345,12.0503378152696,13.847542926669119,2439.1270969063044,200,3984,998,1784310600.8204587
2-3,2,3,True,3998,200,22406.577238813043,ok,,393.0144142359495,12.163742317766102,13.29861730337143,2789.33984041214,200,3983,1101,1784310606.2646563
2-4,2,4,True,3998,200,28198.304215446115,ok,,66.21027737855911,12.094035990498393,13.487810641527169,2448.8030578941107,200,3983,1157,1784310612.05638
2-5,2,5,True,3998,200,33651.49099007249,ok,,890.548586845398,12.518178127132929,13.969051651656626,3331.6694535315037,200,3983,950,1784310617.5095692
3-0,3,0,True,4000,200,6878.899862989783,ok,,288.87444362044334,12.322777293506682,13.897667080163952,2667.2734431922436,200,3985,1070,1784310590.7369792
3-1,3,1,True,3999,200,12551.76830664277,ok,,66.55703485012054,12.157855622279339,13.824468292295933,2437.4199230223894,200,3984,1250,1784310596.4098485
3-2,3,2,True,3999,200,17994.107177481055,ok,,72.26082868874073,12.257057437912012,12.893986329436302,2462.450971826911,200,3984,1081,1784310601.8521862
3-3,3,3,True,3998,200,23461.673827841878,ok,,82.6394222676754,12.245484512568135,12.968610227108002,2458.334619179368,200,3983,1067,1784310607.319753
3-4,3,4,True,3998,200,28925.134977325797,ok,,76.8665187060833,12.468275107404729,13.464826717972755,2483.316645026207,200,3983,903,1784310612.7832139
3-5,3,5,True,3998,200,34413.32511790097,ok,,141.64143428206444,12.99209688651435,20.945987012237353,2584.2431224882603,200,3983,983,1784310618.2714033
4-0,4,0,True,4000,200,8141.3416638970375,ok,,399.1738371551037,11.73856541746021,12.344200909137724,2664.8234128952026,200,3985,881,1784310591.9994211
4-1,4,1,True,4000,200,13811.817210167646,ok,,78.5586517304182,12.160800551016306,13.731645327061415,2437.8260001540184,200,3985,895,1784310597.6698966
4-2,4,2,True,3999,200,19254.492547363043,ok,,66.84353016316891,12.486816183980848,13.774529099464417,2451.8941305577755,200,3984,1008,1784310603.1125724
4-3,4,3,True,3999,200,24711.37272566557,ok,,223.9221017807722,12.043272226284712,12.718710489571095,2572.4341459572315,200,3984,954,1784310608.569452
4-4,4,4,True,3998,200,30289.21737894416,ok,,101.99079848825932,12.598632074588416,14.046663884073496,2571.3923666626215,200,3983,949,1784310614.1472964
4-5,4,5,True,3998,200,35866.41161888838,ok,,1218.6111882328987,12.322110543751347,14.117804542183867,3596.8405939638615,200,3983,1040,1784310619.7244928
5-0,5,0,True,4000,200,14811.348292976618,ok,,299.4140535593033,11.923318719203325,12.83130431547761,2612.613685429096,200,3985,958,1784310598.669428
5-1,5,1,True,3999,200,20460.853572934866,ok,,319.77093778550625,13.690228865016252,14.15195008739829,2985.591420903802,200,3984,791,1784310604.3189313
5-2,5,2,True,3999,200,26454.43575270474,ok,,85.55875159800053,12.126966138479068,13.975842669606203,2474.6419433504343,200,3984,979,1784310610.3125143
5-3,5,3,True,3998,200,31933.614214882255,ok,,118.09149757027626,12.473631007265924,14.581870660185814,2575.4487570375204,200,3983,1075,1784310615.7916934
5-4,5,4,True,3998,200,37513.26281391084,ok,,1993.079187348485,12.512768065789714,14.053706638514988,4395.597707480192,200,3983,825,1784310621.3713422
5-5,5,5,True,3998,200,44913.28904591501,ok,,908.2133676856756,12.47650571167469,14.456064812839026,3341.201702132821,200,3983,1002,1784310628.7713683
6-0,6,0,True,4000,200,20455.570857971907,ok,,324.9163217842579,13.527922067545392,13.664477691054339,2989.996049553156,200,3985,1023,1784310604.3136504
6-1,6,1,True,3999,200,26450.267270207405,ok,,89.79653753340244,12.510958902966914,14.343584887683392,2479.4547092169523,200,3984,960,1784310610.308347
6-2,6,2,True,3999,200,31937.885789200664,ok,,113.70870098471642,12.394079068666182,14.493663609027863,2555.397128686309,200,3984,1083,1784310615.795964
6-3,6,3,True,3999,200,37498.343616724014,ok,,1982.3713842779398,12.4389394500095,13.705528900027273,4383.165819570422,200,3984,988,1784310621.3564234
6-4,6,4,True,3999,200,44886.71154901385,ok,,64.59108367562294,12.34636025569463,14.171005412936209,2496.918035671115,200,3984,1058,1784310628.74479
6-5,6,5,True,3998,200,50387.96236924827,ok,,2011.3471504300833,12.278274480937695,14.075672719627619,4417.967911809683,200,3983,1062,1784310634.2460413
7-0,7,0,True,4000,200,31579.64537665248,ok,,281.33960254490376,12.748709482063228,14.48470838367939,2742.724023759365,200,3985,993,1784310615.4377222
7-1,7,1,True,3999,200,37326.524920761585,ok,,956.7653927952051,12.197259631123124,13.160941563546652,3323.1082428246737,200,3984,927,1784310621.1846037
7-2,7,2,True,3999,200,43653.66833284497,ok,,1121.7854842543602,12.332215201945937,14.590380247682333,3538.966914638877,200,3984,1082,1784310627.511746
7-3,7,3,True,3998,200,50197.8280171752,ok,,2187.5398252159357,12.38266135729158,14.483053144067526,4589.832888916135,200,3983,961,1784310634.055906
7-4,7,4,True,3999,200,57791.81508719921,ok,,1927.330320701003,12.219544595632797,14.141089655458927,4310.212237760425,200,3984,1070,1784310641.6498938
7-5,7,5,True,3998,200,65106.97207227349,ok,,4547.502636909485,12.149087371950856,13.574369717389345,6928.792681545019,200,3983,1027,1784310648.965051
8-0,8,0,True,4000,200,32050.459057092667,ok,,1077.3027502000332,12.414483731697658,14.626913517713547,3523.0227187275887,200,3985,994,1784310615.9085388
8-1,8,1,True,3999,200,38578.44682224095,ok,,1115.841256454587,12.464819696837479,13.711164891719818,3534.1200288385153,200,3984,1054,1784310622.4365256
8-2,8,2,True,3999,200,45117.0301977545,ok,,1913.596287369728,12.379457734716244,14.175157248973846,4327.6581559330225,200,3984,1064,1784310628.9751086
8-3,8,3,True,3998,200,52449.20473173261,ok,,2176.35266110301,12.391124570216888,15.654233470559118,4592.673193663359,200,3983,901,1784310636.3072844
8-4,8,4,True,3998,200,60047.38689400256,ok,,1887.0381396263838,12.108341907736046,14.274370670318602,4296.64734005928,200,3983,970,1784310643.905467
8-5,8,5,True,3998,200,67348.09848293662,ok,,2527.873780578375,12.168336222518464,13.581958133727312,4912.93148137629,200,3983,914,1784310651.2061763
9-0,9,0,True,4000,200,34776.391146704555,ok,,1056.657150387764,12.538797593641775,14.48683589696884,3476.7502285540104,200,3985,1070,1784310618.6344712
9-1,9,1,True,3999,200,41258.019318804145,ok,,1106.4702905714512,12.460960952945404,14.210596680641174,3486.5835327655077,200,3984,1090,1784310625.1160982
9-2,9,2,True,3999,200,47749.25392307341,ok,,1725.9541880339384,12.497872181045704,14.95167706161737,4163.113325834274,200,3984,1110,1784310631.6073325
9-3,9,3,True,3999,200,54916.71406291425,ok,,2156.21474198997,12.280825192907027,14.162772335112095,4563.331101089716,200,3984,1030,1784310638.774793
9-4,9,4,True,3998,200,62485.0683119148,ok,,1905.334884300828,13.056345264582584,15.192384645342822,4412.2077859938145,200,3983,950,1784310646.3431473
9-5,9,5,True,3998,200,69901.66950412095,ok,,2429.9604538828135,12.559385219474835,14.372340869158506,4891.646668314934,200,3983,1037,1784310653.7597487
10-0,10,0,True,4000,200,34938.8148766011,ok,,2132.428826764226,12.129607201762953,13.722776900976896,4509.901808574796,200,3985,981,1784310618.7968946
10-1,10,1,True,4000,200,42453.64744216204,ok,,923.294335603714,12.305672065569805,13.81607986986637,3322.9514099657536,200,3985,1026,1784310626.311727
10-2,10,2,True,3999,200,48781.07616864145,ok,,1095.7109369337559,12.571167799511127,14.840091113001108,3559.7321670502424,200,3984,1062,1784310632.6391554
10-3,10,3,True,3999,200,55344.89519521594,ok,,1930.0439544022083,12.487511150538921,14.71937550231814,4327.717266976833,200,3984,930,1784310639.2029731
10-4,10,4,True,3998,200,62677.48570814729,ok,,1913.0280949175358,13.250903206828394,15.010894555598497,4430.752605199814,200,3983,1027,1784310646.535566
10-5,10,5,True,3998,200,70113.42545412481,ok,,3199.8627204447985,12.94599919556043,14.551724866032599,5724.378725513816,200,3983,1028,1784310653.9715054
11-0,11,0,True,4000,200,36173.75421151519,ok,,1124.510258436203,12.409634357366537,14.341381564736366,3519.64757964015,200,3985,907,1784310620.031834
11-1,11,1,True,3999,200,42698.505891487,ok,,1881.7391842603683,12.673035956412086,15.673126094043255,4302.364692091942,200,3984,1115,1784310626.5565848
11-2,11,2,True,3999,200,50006.324550136924,ok,,733.7990701198578,12.329392295879156,13.83686177432537,3162.759695202112,200,3984,1193,1784310633.8644037
11-3,11,3,True,3999,200,56173.915358260274,ok,,3336.122952401638,12.089953422168184,13.888295739889143,5717.9221995174885,200,3984,1162,1784310640.0319946
11-4,11,4,True,3998,200,64895.93134634197,ok,,2528.542974963784,12.221479018655966,13.842938002198935,4924.011053517461,200,3983,1084,1784310648.7540104
11-5,11,5,True,3997,200,72827.00625807047,ok,,4486.869489774108,12.391151606802541,13.854256831109524,6853.644348680973,200,3982,1028,1784310656.6850824
12-0,12,0,True,4000,200,39692.36570969224,ok,,1239.1356267035007,12.328087634001022,14.088470488786697,3643.1876365095377,200,3985,949,1784310623.550445
12-1,12,1,True,3999,200,46340.693997219205,ok,,1119.2873548716307,12.217502515667524,13.916211761534212,3501.7711147665977,200,3984,1119,1784310630.1987734
12-2,12,2,True,3999,200,52846.84267826378,ok,,1976.0113582015038,12.385555901206457,15.424349345266814,4391.2444189190865,200,3984,1012,1784310636.7049215
12-3,12,3,True,3999,200,60242.42305196822,ok,,1877.2339634597301,12.797738479637594,16.922955587506294,4296.056415885687,200,3984,838,1784310644.100502
12-4,12,4,True,3998,200,67542.05652885139,ok,,3308.0314435064793,12.268785964035747,14.010655507445335,5725.032018497586,200,3983,830,1784310651.4001338
12-5,12,5,True,3998,200,76270.29694989324,ok,,3258.8423136621714,12.709252908825874,14.55779373645782,5673.671126365662,200,3983,1121,1784310660.128375
13-0,13,0,True,4000,200,39827.00084708631,ok,,2317.252192646265,12.337788901267908,13.98559845983982,4723.19052927196,200,3985,1059,1784310623.6850803
