request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,22.368665784597397,ok,,776.0187834501266,2.7713490350876446,3.066108003258704,1311.0065199434757,200,3985,1001,1784309264.3936589
0-1,0,1,True,4000,200,4341.23576618731,ok,,54.582247510552406,2.6100616608011094,3.234590124338865,550.6034158170223,200,3985,1012,1784309268.712528
0-2,0,2,True,3999,200,7897.960148751736,ok,,49.41690340638161,3.574657785408784,12.844646349549294,732.2449907660484,200,3984,1037,1784309272.2692506
0-3,0,3,True,3999,200,11634.86835733056,ok,,48.49892482161522,2.6685793298421445,2.740413229912519,566.2732757627964,200,3984,1011,1784309276.0061598
0-4,0,4,True,3998,200,15205.336572602391,ok,,379.83759492635727,2.667840044849958,3.206699155271053,900.1418557018042,200,3983,1014,1784309279.5766273
0-5,0,5,True,3998,200,19109.679033979774,ok,,94.46896240115166,2.673056961032393,2.98677384853363,610.4262676090002,200,3983,1044,1784309283.4809692
1-0,1,0,True,4000,200,5143.059743568301,ok,,546.8893218785524,3.43098293703336,12.608405388891697,1216.0303369164467,200,3985,1026,1784309269.5143516
1-1,1,1,True,3999,200,9364.221857860684,ok,,48.92560467123985,2.747584201204471,2.713201195001602,584.7796462476254,200,3984,876,1784309273.735512
1-2,1,2,True,3999,200,12954.510748386383,ok,,49.76489208638668,2.6744905159558137,2.701834589242935,576.7100248485804,200,3984,984,1784309277.3258011
1-3,1,3,True,3999,200,16536.04243323207,ok,,50.86819268763065,2.782135299045821,3.249338362365961,596.235703676939,200,3984,1020,1784309280.9073324
1-4,1,4,True,3999,200,20138.60920444131,ok,,51.83653347194195,3.740411952675618,13.410335592925549,777.5418646633625,200,3984,1108,1784309284.5098994
1-5,1,5,True,3998,200,23921.005737036467,ok,,71.51534408330917,2.873501351113042,3.529016301035881,614.6745905280113,200,3983,940,1784309288.2922964
2-0,2,0,True,4000,200,5268.787249922752,ok,,618.6961010098457,2.6189678215554784,3.070091363042593,1132.1089658886194,200,3985,1173,1784309269.6400783
2-1,2,1,True,3999,200,9405.804926529527,ok,,66.1323070526123,2.60761786762833,2.6788033545017242,579.8825081437826,200,3984,990,1784309273.777094
2-2,2,2,True,3999,200,12989.49266411364,ok,,49.79606159031391,2.6896381701942516,2.7038445696234703,563.5770428925753,200,3984,1107,1784309277.3607826
2-3,2,3,True,3998,200,16557.466300204396,ok,,80.9717420488596,2.617610608968808,3.076806664466858,594.0917413681746,200,3983,1090,1784309280.9287736
2-4,2,4,True,3998,200,20158.95221941173,ok,,72.06900417804718,3.6427399500664035,13.38810883462429,775.1754764467478,200,3983,1027,1784309284.5302436
2-5,2,5,True,3998,200,23939.464883878827,ok,,68.4028435498476,2.7037665796310164,3.4111991524696337,601.1073514819145,200,3983,940,1784309288.3107545
3-0,3,0,True,4000,200,6876.989485695958,ok,,216.40354953706264,2.5151183030435016,2.7421414852142334,709.4654981046915,200,3985,1108,1784309271.2482827
3-1,3,1,True,3999,200,10592.288935557008,ok,,47.64304868876934,2.5632698476935425,2.577540278434753,539.8623794317245,200,3984,943,1784309274.9635794
3-2,3,2,True,3999,200,14137.80259154737,ok,,50.14844983816147,2.514457100859055,2.6175914332270622,540.5387058854103,200,3984,1019,1784309278.5090945
3-3,3,3,True,3998,200,17683.253027498722,ok,,359.70287397503853,2.5006935634103016,2.8355765156447874,850.2602130174637,200,3983,1078,1784309282.0545437
3-4,3,4,True,3998,200,21538.701625540853,ok,,57.207219302654266,2.4951575654866125,3.161602094769478,548.8209389150143,200,3983,1067,1784309285.9099936
3-5,3,5,True,3998,200,25092.524494975805,ok,,56.684089824557304,2.4915937769231458,2.8800919651985164,547.5994236767292,200,3983,1151,1784309289.4638143
4-0,4,0,True,4000,200,8138.440918177366,ok,,260.25211438536644,2.6243165290604034,2.6856386102735996,764.1864605247974,200,3985,1012,1784309272.5097322
4-1,4,1,True,4000,200,11907.816883176565,ok,,57.300569489598274,2.5774842557998805,2.656295523047447,559.9711518734694,200,3985,949,1784309276.2791097
4-2,4,2,True,3999,200,15472.57181443274,ok,,117.47385002672672,2.6534845336125445,3.202164731919765,634.9608153104782,200,3984,962,1784309279.843862
4-3,4,3,True,3999,200,19113.86958695948,ok,,90.21759778261185,2.6563520149625455,2.9612339101731777,605.6115310639143,200,3984,1229,1784309283.4851584
4-4,4,4,True,3998,200,22723.56337122619,ok,,62.28633038699627,2.6856241199900124,3.1058283522725105,564.5618215203285,200,3983,879,1784309287.0948544
4-5,4,5,True,3998,200,26292.576413601637,ok,,61.826661229133606,2.6296019476121635,3.354577347636223,564.1417242586613,200,3983,1065,1784309290.6638668
5-0,5,0,True,4000,200,14806.835865601897,ok,,213.00018206238747,4.4205005300076055,3.510557767003773,1061.8033837527037,200,3985,898,1784309279.178129
5-1,5,1,True,3999,200,18873.009581118822,ok,,46.88122309744358,2.7523629040908566,3.3924795687198634,580.9096377342939,200,3984,782,1784309283.2442997
5-2,5,2,True,3999,200,22459.103833884,ok,,47.79062047600746,2.6928852670467815,3.265205584466457,572.9698203504086,200,3984,946,1784309286.8303943
5-3,5,3,True,3998,200,26036.72792762518,ok,,57.838503271341324,2.7408313956887773,3.7095988169312473,584.147684276104,200,3983,881,1784309290.408018
5-4,5,4,True,3998,200,29626.737669110298,ok,,57.03355558216572,2.5594080022225776,2.5561545975506306,548.5067423433065,200,3983,987,1784309293.9980295
5-5,5,5,True,3998,200,33181.511307135224,ok,,55.526696145534515,2.5272414430367705,2.792336978018284,550.9406514465809,200,3983,1048,1784309297.5528035
6-0,6,0,True,4000,200,20451.67839899659,ok,,269.8014825582504,2.569975511988207,3.1826291233301163,773.5872361809015,200,3985,1056,1784309284.8229694
