request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,22.929158061742783,ok,,2830.0452418625355,7.4198618817787905,7.718156650662421,4277.011878788471,200,3985,758,1784311665.6297588
0-1,0,1,True,4000,200,7304.236574098468,ok,,60.12129224836826,8.350128842852055,15.067016519606113,1688.4671580046415,200,3985,1034,1784311672.9110663
0-2,0,2,True,3999,200,11996.976708993316,ok,,48.45522344112396,7.78695750806032,8.657680824398994,1535.8260981738567,200,3984,961,1784311677.6038063
0-3,0,3,True,3999,200,16537.43045963347,ok,,41.84619523584843,7.3070513161340935,7.912433985620737,1459.4789016991854,200,3984,1045,1784311682.14426
0-4,0,4,True,3998,200,21001.0218732059,ok,,933.0562315881252,7.311012444611128,7.795717194676398,2373.386163264513,200,3983,1177,1784311686.607851
0-5,0,5,True,3998,200,26378.701576963067,ok,,60.53045578300953,7.34815365419938,8.276232890784739,1493.5155808925629,200,3983,949,1784311691.9855306
1-0,1,0,True,4000,200,5141.415497288108,ok,,1109.470384195447,8.72591172869738,15.028062090277672,2828.573826700449,200,3985,1029,1784311670.748248
1-1,1,1,True,3999,200,10975.35328567028,ok,,47.62266390025616,7.352434944513501,8.187806699424982,1488.7642245739698,200,3984,883,1784311676.5821836
1-2,1,2,True,3999,200,15467.450177296996,ok,,48.72213862836361,7.49999198402899,8.65169391036033,1488.7936618179083,200,3984,875,1784311681.0742788
1-3,1,3,True,3999,200,19960.993418470025,ok,,49.194106832146645,9.635301221748295,15.975599735975264,1947.4114384502172,200,3984,936,1784311685.5678225
1-4,1,4,True,3999,200,24912.596749141812,ok,,47.556253150105476,7.604651829521907,13.07284813374281,1492.504881694913,200,3984,807,1784311690.519426
1-5,1,5,True,3998,200,29409.913944080472,ok,,58.1789817661047,7.329137235575793,9.214125573635101,1494.7522096335888,200,3983,1007,1784311695.016744
2-0,2,0,True,4000,200,5267.613500356674,ok,,1217.7315540611744,8.441071871820153,15.059988014400005,2872.2428418695927,200,3985,991,1784311670.8744438
2-1,2,1,True,3999,200,11143.167119473219,ok,,56.91282078623772,7.405883264847291,8.17692931741476,1501.1169388890266,200,3984,963,1784311676.7499928
2-2,2,2,True,3999,200,15648.9298902452,ok,,47.051021829247475,7.2970994308515245,7.821677625179291,1484.640659764409,200,3984,1121,1784311681.2557592
2-3,2,3,True,3998,200,20138.023406267166,ok,,367.4781881272793,8.165106549859047,15.987103618681429,1959.7330652177334,200,3983,791,1784311685.7448523
2-4,2,4,True,3998,200,25102.394707500935,ok,,56.968145072460175,7.473112040987382,9.015804529190062,1514.294283464551,200,3983,1198,1784311690.709223
2-5,2,5,True,3998,200,29620.837938040495,ok,,55.59518374502659,7.326729368739927,8.992788195610045,1499.024759978056,200,3983,1073,1784311695.2276669
3-0,3,0,True,4000,200,6876.240145415068,ok,,303.1876776367426,8.495162940859178,15.119885280728338,1942.8312461823225,200,3985,1058,1784311672.4830709
3-1,3,1,True,3999,200,11823.41150008142,ok,,48.80957677960396,7.755825392554461,8.806997910141945,1545.7498580217361,200,3984,931,1784311677.4302409
3-2,3,2,True,3999,200,16373.354589566588,ok,,45.80624960362911,7.37457717624829,8.38402472436428,1476.546261459589,200,3984,994,1784311681.9801838
3-3,3,3,True,3998,200,20853.90898399055,ok,,580.5943123996258,7.53990944880278,8.54820162057875,2035.8582884073257,200,3983,1119,1784311686.4607384
3-4,3,4,True,3998,200,25894.064240157604,ok,,55.54641969501972,7.551471372911085,9.40862139686941,1505.5002942681313,200,3983,1067,1784311691.5008953
3-5,3,5,True,3998,200,30403.904106467962,ok,,60.466138646006584,8.110744305528128,14.689302258193493,1642.124218866229,200,3983,1029,1784311696.010732
4-0,4,0,True,4000,200,8138.548549264669,ok,,302.39020474255085,7.535716777993846,8.171435818076134,1764.4007708877325,200,3985,659,1784311673.745378
4-1,4,1,True,4000,200,12907.616583630443,ok,,56.485800072550774,7.249664150408862,7.862545363605022,1462.9885461181402,200,3985,929,1784311678.5144453
4-2,4,2,True,3999,200,17375.33364072442,ok,,51.543381065130234,7.2681218958818,7.887936010956764,1468.8939321786165,200,3984,910,1784311682.9821637
4-3,4,3,True,3999,200,21848.663495853543,ok,,266.5945943444967,7.377307408445858,7.759275659918784,1690.4840655624866,200,3984,760,1784311687.4554925
4-4,4,4,True,3998,200,26543.731732293963,ok,,99.03917089104652,7.178585596230565,7.793785538524389,1506.112428382039,200,3983,1112,1784311692.1505609
4-5,4,5,True,3998,200,31054.536437615752,ok,,54.25634980201721,8.560722605570367,14.83488129451871,1680.8592155575752,200,3983,1023,1784311696.6613653
5-0,5,0,True,4000,200,14805.298691615462,ok,,244.6645237505436,7.302194206439769,9.359785914421062,1654.055655002594,200,3985,808,1784311680.412129
5-1,5,1,True,3999,200,19465.045295655727,ok,,45.84677144885063,9.832152691452615,16.09138734638691,1943.518592044711,200,3984,1001,1784311685.071875
5-2,5,2,True,3999,200,24414.110470563173,ok,,44.561510905623436,7.398313417648658,8.253334648907185,1487.2991777956486,200,3984,1078,1784311690.0209394
5-3,5,3,True,3998,200,28907.176399603486,ok,,48.839470371603966,7.378273886085178,9.236051887273787,1465.5365385115147,200,3983,1119,1784311694.5140076
5-4,5,4,True,3998,200,33376.983903348446,ok,,58.82597155869007,7.1925517986528575,7.676380965858695,1439.869787544012,200,3983,942,1784311698.9838128
5-5,5,5,True,3998,200,37821.58915325999,ok,,61.884237453341484,7.097269469862662,7.476072013378143,1460.1126424968243,200,3983,928,1784311703.4284184
6-0,6,0,True,4000,200,20451.928170397878,ok,,329.5312859117985,7.496576909859156,9.020812902599573,1783.9249465614557,200,3985,892,1784311686.0587595
6-1,6,1,True,3999,200,25240.476557984948,ok,,49.4795348495245,7.76279679043813,12.207352463155997,1508.9361425489187,200,3984,1016,1784311690.8473053
6-2,6,2,True,3999,200,29753.714740276337,ok,,52.99139581620693,7.463287212885916,9.965974185615769,1486.0031008720398,200,3984,903,1784311695.3605433
6-3,6,3,True,3999,200,34243.670573458076,ok,,50.14171823859215,8.473848752104319,14.91803154349327,1702.6069350540638,200,3984,1167,1784311699.8504996
6-4,6,4,True,3999,200,38950.74889436364,ok,,51.11145228147507,8.702219055243292,15.224096830934286,1756.8138185888529,200,3984,1139,1784311704.5575786
6-5,6,5,True,3998,200,43712.37666532397,ok,,50.83775334060192,7.3595313048086215,8.269844669848679,1478.6543156951666,200,3983,1012,1784311709.319206
7-0,7,0,True,4000,200,31589.520512148738,ok,,294.0050531178713,7.790372573903629,14.633262529969215,1820.9879267960787,200,3985,983,1784311697.1963513
7-1,7,1,True,3999,200,36415.29989801347,ok,,58.156637474894524,7.215349659399719,7.629968225955963,1472.4349807947874,200,3984,1062,1784311702.0221288
7-2,7,2,True,3999,200,40892.036559060216,ok,,698.1535628437996,8.154773216753107,15.0685366243124,2255.7900678366423,200,3984,1057,1784311706.498865
7-3,7,3,True,3998,200,46182.85829201341,ok,,352.60302759706974,7.725425393265836,13.233762606978406,1797.3532062023878,200,3983,863,1784311711.789686
7-4,7,4,True,3999,200,50984.715823084116,ok,,559.079259634018,7.941287486072706,15.000302344560623,2115.632588043809,200,3984,981,1784311716.5915463
7-5,7,5,True,3998,200,56105.73757626116,ok,,821.1350739002228,7.3455052975660715,9.03102066367864,2253.573127090931,200,3983,974,1784311721.7125661
8-0,8,0,True,4000,200,32044.71311159432,ok,,293.53150725364685,7.146547443936674,7.657045498490334,1694.3180579692125,200,3985,1045,1784311697.6515434
8-1,8,1,True,3999,200,36743.7157407403,ok,,46.40574939548969,7.238954641693032,7.425681781023741,1450.8299883455038,200,3984,976,1784311702.3505447
8-2,8,2,True,3999,200,41198.65623116493,ok,,1126.6542505472898,7.194711548305049,7.627982832491397,2522.5274227559566,200,3984,889,1784311706.8054852
8-3,8,3,True,3998,200,46725.66539235413,ok,,1267.2483772039413,7.075710363950826,7.780089601874351,2661.2656004726887,200,3983,1046,1784311712.3324945
8-4,8,4,True,3998,200,52391.847452148795,ok,,243.8255213201046,7.260660182325368,8.332622423768042,1674.2366589605808,200,3983,998,1784311717.9986758
8-5,8,5,True,3998,200,57071.73061929643,ok,,656.4871184527874,7.335823532954162,8.926723152399063,2094.3741519004107,200,3983,971,1784311722.6785605
9-0,9,0,True,4000,200,34783.41102786362,ok,,298.1415204703808,8.528247599800428,14.911158382892609,1961.213432252407,200,3985,917,1784311700.390241
9-1,9,1,True,3999,200,39748.564107343554,ok,,244.3972732871771,8.180865400272948,14.980653673410416,1823.3610652387142,200,3984,1216,1784311705.3553927
9-2,9,2,True,3999,200,44580.0989177078,ok,,75.02095215022564,7.859010461960798,13.982653338462114,1529.948005452752,200,3984,753,1784311710.186927
9-3,9,3,True,3999,200,49118.38612891734,ok,,73.92720505595207,7.345401825978584,8.195610437542198,1498.9951606839895,200,3984,1045,1784311714.7252152
9-4,9,4,True,3998,200,53624.689338728786,ok,,393.56737583875656,7.282588224347473,8.2035556435585,1828.3029664307833,200,3983,1063,1784311719.2315168
9-5,9,5,True,3998,200,58458.47342163324,ok,,254.02703881263733,7.397503563564043,8.557964581996202,1703.9983179420233,200,3983,944,1784311724.065305
10-0,10,0,True,4000,200,34935.45411154628,ok,,384.2111434787512,7.91973557931428,14.719593804329634,1936.5392159670591,200,3985,1037,1784311700.5422847
10-1,10,1,True,4000,200,39876.50807760656,ok,,854.9650032073259,8.129927828984776,15.059453528374434,2432.2342835366726,200,3985,1052,1784311705.4833376
10-2,10,2,True,3999,200,45313.756462186575,ok,,49.51968975365162,8.089371199280487,14.745145291090008,1610.8344718813896,200,3984,863,1784311710.9205856
