request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,23.0163112282753,ok,,2590.32478928566,3.650597296655178,3.6270808428525925,3291.322462260723,200,3985,1018,1784269332.3934047
0-1,0,1,True,4000,200,6319.218378514051,ok,,454.83772084116936,4.637837381317065,4.9278948456048965,1359.2917621135712,200,3985,1016,1784269338.6896074
0-2,0,2,True,3999,200,10682.538913562894,ok,,105.29153048992157,4.31975407753976,4.634704906493425,952.0387798547745,200,3984,959,1784269343.0529273
0-3,0,3,True,3999,200,14639.625776559114,ok,,109.91369374096394,4.36271109371161,4.082872532308102,965.0729596614838,200,3984,1109,1784269347.0100136
0-4,0,4,True,3998,200,18609.404811635613,ok,,317.852633073926,4.393252262320274,4.630407691001891,1174.6036168187857,200,3983,956,1784269350.9797938
0-5,0,5,True,3998,200,22788.45116496086,ok,,113.28237131237984,4.373813000488646,4.872775636613369,970.653960481286,200,3983,1034,1784269355.15884
1-0,1,0,True,4000,200,5141.958989202976,ok,,631.4712353050709,4.7755311922325445,4.174721986055374,1548.4746154397726,200,3985,878,1784269337.5123498
1-1,1,1,True,3999,200,9695.977933704853,ok,,107.21222870051861,4.40886710799232,4.635303653776646,962.5998176634312,200,3984,967,1784269342.0663662
1-2,1,2,True,3999,200,13663.888055831194,ok,,108.14107768237591,4.3664693414252636,4.4355555437505245,964.0415217727423,200,3984,1029,1784269346.034276
1-3,1,3,True,3999,200,17633.759090676904,ok,,109.29998755455017,5.61021531608944,4.885860253125429,1208.9715916663408,200,3984,979,1784269350.0041485
1-4,1,4,True,3999,200,21847.52511046827,ok,,107.68014751374722,4.345568095518248,4.231569916009902,963.8564437627792,200,3984,1115,1784269354.2179132
1-5,1,5,True,3998,200,25816.80058501661,ok,,392.0043185353279,4.326125207756247,4.449053667485714,1240.0007005780935,200,3983,976,1784269358.187189
2-0,2,0,True,4000,200,5267.02263392508,ok,,642.0108806341887,4.553005707107093,4.145546909421682,1507.1447156369686,200,3985,1006,1784269337.6374128
2-1,2,1,True,3999,200,9778.914844617248,ok,,111.0380981117487,4.0073683865520415,4.287491552531719,896.5515345335007,200,3984,1041,1784269342.1493027
2-2,2,2,True,3999,200,13680.369352921844,ok,,166.87235981225967,4.041987008009201,4.385477676987647,955.1313780248165,200,3984,1118,1784269346.0507574
