request_id,conv_id,turn_idx,in_warmup,target_in_tokens,out_tokens_max,scheduled_offset_ms,status,error,ttft_ms,tpot_mean_ms,tpot_p95_ms,latency_ms,output_tokens,prompt_tokens_actual,output_text_len,t_send_epoch
0-0,0,0,True,4000,200,22.76892587542534,ok,,3258.634489029646,5.130759942593999,3.7013767287135124,4238.699439913034,200,3985,931,1784268898.181795
0-1,0,1,True,4000,200,7266.9220343232155,ok,,179.14297990500927,4.704755944355081,4.566296096891163,1082.5598929077387,200,3985,1013,1784268905.4259489
0-2,0,2,True,3999,200,11353.763049468398,ok,,179.5041449368,4.648503761890591,4.35886112973094,1090.715803205967,200,3984,1202,1784268909.5127892
0-3,0,3,True,3999,200,15448.89553450048,ok,,183.21803212165833,4.891205200692639,4.717912059277294,1122.4013734608889,200,3984,1063,1784268913.6079218
0-4,0,4,True,3998,200,19575.746344402432,ok,,181.8016581237316,5.5471181546394925,5.346270278096199,1269.100958481431,200,3983,1020,1784268917.734772
0-5,0,5,True,3998,200,23850.062746554613,ok,,211.2808357924223,5.605279131955707,6.071996316313734,1298.7672593444586,200,3983,961,1784268922.0090885
1-0,1,0,True,4000,200,5148.079557344317,ok,,177.21464671194553,6.142504172881848,4.122685268521309,1387.4174412339926,200,3985,994,1784268903.307108
1-1,1,1,True,3999,200,9540.800467133522,ok,,178.50622534751892,4.7246577487010315,4.269448481500149,1095.1635893434286,200,3984,982,1784268907.699828
1-2,1,2,True,3999,200,13640.698555856943,ok,,175.8042424917221,4.605417256828528,4.046310298144817,1092.3522990196943,200,3984,1054,1784268911.799725
1-3,1,3,True,3999,200,17738.24323154986,ok,,177.30837129056454,5.828052891541254,4.566667228937149,1325.5022019147873,200,3984,1066,1784268915.8972692
1-4,1,4,True,3999,200,22068.86886805296,ok,,176.78762786090374,4.6937752952229,4.431786015629768,1096.8421064317226,200,3984,1045,1784268920.227895
1-5,1,5,True,3998,200,26170.89881747961,ok,,174.87424239516258,4.698125712041344,4.108287859708071,1095.7821942865849,200,3983,1025,1784268924.3299246
2-0,2,0,True,4000,200,5271.0247952491045,ok,,492.8236845880747,4.005556907027196,4.097330570220947,1273.966832086444,200,3985,1001,1784268903.4300528
2-1,2,1,True,3999,200,9549.5574362576,ok,,311.7819055914879,4.087458662103608,4.428182728588581,1092.5526525825262,200,3984,985,1784268907.7085826
2-2,2,2,True,3999,200,13646.066451445222,ok,,311.9594641029835,4.028025035237529,4.07197093591094,1093.457093462348,200,3984,686,1784268911.8050911
2-3,2,3,True,3998,200,17743.683200329542,ok,,540.1595253497362,4.011671524494886,4.501835908740759,1326.514445245266,200,3983,846,1784268915.9027092
2-4,2,4,True,3998,200,22074.431259185076,ok,,314.1066078096628,4.0387625028331255,4.395073093473911,1097.6899862289429,200,3983,1083,1784268920.2334564
2-5,2,5,True,3998,200,26176.250534132123,ok,,312.7162829041481,4.021020434223688,4.069123603403568,1096.8816485255957,200,3983,1078,1784268924.335275
3-0,3,0,True,4000,200,6875.7322281599045,ok,,176.19123496115208,4.617709446793947,4.857980832457537,1076.7546277493238,200,3985,909,1784268905.0347612
3-1,3,1,True,3999,200,10957.450829446316,ok,,174.6139470487833,4.575300305464107,4.38598170876503,1057.703796774149,200,3984,1159,1784268909.1164765
3-2,3,2,True,3999,200,15019.600773230195,ok,,180.27391657233238,5.507745345433553,5.354687571525566,1254.3455716222525,200,3984,987,1784268913.1786263
3-3,3,3,True,3998,200,19278.401367366314,ok,,229.2478382587433,6.205544395722108,10.783177986741054,1451.806876808405,200,3983,1164,1784268917.4374266
3-4,3,4,True,3998,200,23735.072512179613,ok,,178.49784344434738,6.23991252968506,5.8570317924022675,1401.5830997377634,200,3983,1070,1784268921.8940983
3-5,3,5,True,3998,200,28141.457609832287,ok,,175.12595653533936,5.569191248371051,4.756609722971916,1261.1517496407032,200,3983,1125,1784268926.300484
4-0,4,0,True,4000,200,8141.5135730057955,ok,,180.37679605185986,3.5586219984201755,3.9192293770611286,877.9712598770857,200,3985,782,1784268906.3005407
4-1,4,1,True,4000,200,12023.778753355145,ok,,179.09786477684975,3.6682356434056955,3.988988231867552,898.1468621641397,200,3985,1038,1784268910.1828046
4-2,4,2,True,3999,200,15926.139626652002,ok,,184.12203155457973,3.8308506945566254,4.162574652582407,935.0320994853973,200,3984,1048,1784268914.0851665
4-3,4,3,True,3999,200,19865.677002817392,ok,,180.29525503516197,4.9029319146599795,5.19677847623825,1126.6231946647167,200,3984,816,1784268918.0247033
4-4,4,4,True,3998,200,23997.404422610998,ok,,213.12425285577774,4.922413590504098,4.45008724927902,1163.211727514863,200,3983,1040,1784268922.1564302
4-5,4,5,True,3998,200,28166.262118145823,ok,,291.1540325731039,4.886875578608269,4.6548889949917776,1244.1246826201677,200,3983,1028,1784268926.3252888
5-0,5,0,True,4000,200,14809.213118627667,ok,,174.55407418310642,6.100928667476591,8.51730303838849,1370.4011756926775,200,3985,1118,1784268912.968241
5-1,5,1,True,3999,200,19185.206754133105,ok,,174.92873966693878,6.210405788175305,8.47448967397213,1392.2365959733725,200,3984,1006,1784268917.344234
5-2,5,2,True,3999,200,23582.56827108562,ok,,174.5405588299036,6.416447744949868,10.053320508450215,1393.7347829341888,200,3984,1084,1784268921.741594
5-3,5,3,True,3998,200,27982.237618416548,ok,,171.91208712756634,6.224704488199585,5.950544029474258,1391.9928576797247,200,3983,1093,1784268926.1412635
5-4,5,4,True,3998,200,32378.68438474834,ok,,178.96505631506443,5.150822607057342,8.249986171722412,1121.631545946002,200,3983,983,1784268930.5377104
5-5,5,5,True,3998,200,36504.320330917835,ok,,181.35306611657143,4.868492293052184,4.9278834834694845,1130.766224116087,200,3983,894,1784268934.6633463
6-0,6,0,True,4000,200,20452.122827991843,ok,,277.79272198677063,3.704029914675927,4.454959649592638,1003.8529671728611,200,3985,1090,1784268918.61115
6-1,6,1,True,3999,200,24459.471870213747,ok,,668.7607802450657,3.5934836229251834,4.1237602941691875,1365.9672159701586,200,3984,1011,1784268922.6184967
6-2,6,2,True,3999,200,28828.847663477063,ok,,178.89867909252644,3.879126305355854,4.244592785835266,931.52398429811,200,3984,971,1784268926.9878721
6-3,6,3,True,3999,200,32764.715438708663,ok,,180.9835508465767,3.897370969129698,4.21353243291378,948.8279726356268,200,3984,1051,1784268930.9237418
6-4,6,4,True,3999,200,36718.031127005816,ok,,766.4494812488556,3.6409924148905035,4.332758020609617,1480.144316330552,200,3984,923,1784268934.8770573
6-5,6,5,True,3998,200,41203.92637141049,ok,,693.982969969511,3.9090769960708225,4.7187321819365025,1452.4089992046356,200,3983,1029,1784268939.3629525
7-0,7,0,True,4000,200,31592.956582084298,ok,,184.43968705832958,6.0497529302854,11.748240888118735,1352.109044790268,200,3985,1109,1784268929.7519841
7-1,7,1,True,3999,200,35950.06801187992,ok,,175.85834860801697,6.157791403559398,7.924247067421675,1382.8546348959208,200,3984,827,1784268934.1090932
7-2,7,2,True,3999,200,40339.35462124646,ok,,179.15700376033783,6.258660737349063,6.426370702683926,1405.9106186032295,200,3984,1012,1784268938.4983804
7-3,7,3,True,3998,200,44750.138917937875,ok,,182.78597109019756,6.38313289275583,9.725934825837612,1433.9465498924255,200,3983,1049,1784268942.909164
7-4,7,4,True,3999,200,49188.80447745323,ok,,183.41347202658653,6.356884836378493,5.945061519741971,1410.3704560548067,200,3984,915,1784268947.34783
7-5,7,5,True,3998,200,53603.079764172435,ok,,180.7918008416891,6.39766610887212,10.071758367121175,1409.2101864516735,200,3983,874,1784268951.7621047
8-0,8,0,True,4000,200,32046.603590250015,ok,,177.58620902895927,5.643485289515625,8.523069322109222,1255.560040473938,200,3985,938,1784268930.2056303
